Time taken by parallel program: 10179635 microseconds
) 1201717(0.210257)
1461212(0.656251) 1141613(0.685202)
308925(0.832699) 998081(0.978122)
308925(0.832699) 1244371(0.990663)
308925(0.832699) 1609115(0.928095)
896048(0.779375) 1609115(0.928095)
150786(0.0530804) 785201(0.198234)
665586(0.0514514) 785201(0.198234)
1093965(0.0968411) 785201(0.198234)
1548257(0.443902) 1397658(0.600584)
1548257(0.443902) 1520429(0.590799)
678240(0.661927) 276865(0.78163)
276865(0.78163) 21183(0.864314)
88729(0.455755) 836088(0.520828)
836088(0.520828) 1232223(0.68038)
1421728(0.65503) 1232223(0.68038)
1421728(0.65503) 1619681(0.724715)
731951(0.823217) 1068547(0.883025)
731951(0.823217) 1464215(0.841122)
1232223(0.68038) 1464215(0.841122)
1619681(0.724715) 1068547(0.883025)
1619681(0.724715) 1464215(0.841122)
1754520(0.140568) 535942(0.2744)
1781035(0.1464) 535942(0.2744)
535942(0.2744) 798243(0.396933)
535942(0.2744) 1992958(0.384503)
469187(0.757619) 1383752(0.83571)
469187(0.757619) 1541152(0.850449)
469187(0.757619) 1854476(0.836958)
487510(0.712535) 1383752(0.83571)
487510(0.712535) 1541152(0.850449)
487510(0.712535) 1854476(0.836958)
1371819(0.675169) 1383752(0.83571)
